date,month,year,APN,ANT,AST,BRT,BRV,BRD,BTH,BLB,BOC,BMP,BQC,BWN,BWS,BDP,BIO,BUC,BCL,BTV,CCH,CVE,CMN,CFW,ALM,CPL,CSI,CAS,SLW,CHB,CHY,JNN,CLK,CLA,CGS,CMB,CTG,CYC,MNC,CNV,CUY,MHV,DLV,DMV,DNP,DON,DNL,DWN,EPK,ELC,ENR,ENG,FLR,FOL,FRL,FMD,FRD,MIL,GLK,GBR,GBL,PWL,GNT,DAV,HWE,HNS,HID,MEA,HNT,ICH,INL,MMW,INV,IRC,ISB,JCK,ATN,KNT,KRH,KES,LFY,LGT,HMT,HNN,HDG,LVD,TAH,LVY,LRA,LEW,LNG,LGV,CRW,LON,LSB,LVQ,LWB,CRY,HHL,LYS,SWB,MPL,EDN,MRT,MAT,MHW,MCO,MCS,MMR,MDO,BER,MOR,MRR,NCM,NAT,BUL,MCR,NHG,NML,NCA,ONF,HTH,ORO,LOT,PAR,HVS,PRR,PLL,PNF,PT6,PT7,BIT,PRS,PYM,QUL,RLC,RDN,RLF,RLL,RTD,SDB,SLN,SLS,SNN,SAT,SGB,SNL,SLF,LUS,SPB,SVT,PRU,SGC,SFL,SHA,SHV,SIV,SKN,SLB,SLC,JNK,SOL,SLJ,SLK,SPM,STP,STG,SCC,STD,SW3,TRM,TAB,TMT,TNM,CLE,TUL,TLC,TWT,UNV,KLM,USL,VIL,TAE,VLP,WRS,WHR,WHI,WSN
2000-12,12,2000,5711,14330,414,9031,52300,19900,4685,35741,11300,3380,20060,28700,28840,14320,56850,71460,45896,31462,162354,62420,314220,43800,724501,12514,205195,288568,72542,8260,113100,8469,237990,45555,851,3360,45689,3909,46764,21259,642,1608500,25080,406123,1631000,4947,3090,14190,41740,31631,5430,66411,1047,532900,6960,50900,40527,273800,5580,51981,2392,19823200,43610,56485,29210,4231,21801,22358000,39331,15587,13400,4758,208268,10558,129520,34802,280485,23009,3992,20686,3520,350,8979,20647,11691,7598,433100,3380,57514,13938,1508,40700,119600,11821,18990,80590,3497,43383,83400,2487,4649,16684,16613,788,921,78370,20228,8433,6114,15868,1363800,15428,3876,182912,8106,601363,592400,150364,1876000,15158,47230,215800,1724943,36566,163970,547400,108793,16700,408826,13807,32215,35738,9910,166362,,8341,24416,935,53500,22900,3000,16244,14533,14796,41053,5738,1470439,988762,481677,24510,71554,31300,6000,32872,2910875,84219,1589,35155,12500,9106,32781,593,6851,7010,64600,201000,38930,9214,4948,5802,8583,24441,48393,3230,1708276,43700,27154,0,43173,306787,27720,20820,59011,26,196366,38039,205918,33156
2001-01,1,2001,6739,13492,835,7250,52820,15100,4710,46548,12900,3668,26790,25100,24344,17030,57000,73461,45071,31888,165594,62298,296400,50200,688298,10750,207118,303539,71026,8340,105500,8613,237770,65742,882,5196,13605,4300,48260,22640,579,1678500,25472,457675,1643000,5823,3100,15850,44890,33929,8250,67995,1186,491800,7045,50800,40775,289100,3970,51910,4317,19327800,41710,55746,35680,5485,24001,22523000,36025,14802,13500,4758,212004,9748,130172,34704,284180,22184,3605,21489,3550,350,9153,21419,12269,7763,403800,2700,56448,14427,2414,40500,124600,11983,19035,75490,3538,43267,65800,2194,3488,17138,16975,788,470,75230,20885,8450,5928,16773,1377200,15617,3577,204108,7458,582232,588400,153687,1874000,17711,42351,201400,1737247,36646,165280,556400,98303,20300,425117,15434,31234,36924,9710,158800,8168,9780,24434,935,56100,26800,2270,16234,7019,14947,41048,6748,1595959,1039029,556930,26520,73816,33400,5795,35037,3035294,87927,1252,32371,12500,9520,32710,530,6868,6230,59500,194300,39010,13315,4974,8035,15006,26767,50396,2860,1682599,55500,28316,0,31999,333859,28470,21050,46414,32,204338,38440,211173,63273
2001-02,2,2001,8891,13734,2186,6110,53920,14100,,74941,10300,,,22800,23325,19880,57900,78338,46738,33602,177451,72807,280820,71600,690549,9897,213169,304811,68837,8750,98700,8660,238860,156608,3140,,21978,9608,67482,25498,682,1657300,30698,507652,1651000,4999,3190,18560,48760,37451,1890,66219,1308,524600,7283,50800,41181,305900,3430,52601,6995,19023400,39530,55906,34090,6678,26237,22430000,36680,14890,13800,4811,227508,6543,130928,35000,295482,24204,,22303,,,9357,25594,13764,8006,400200,1820,57204,14375,11887,41100,132600,12957,20035,74440,3865,46387,56800,2106,2480,19740,17337,791,410,77233,20382,9176,5936,21460,1450500,15771,3876,253230,8003,612810,603400,169494,1896000,22430,47178,177600,1842156,36815,167820,593000,98617,49900,454650,14658,33723,35096,9860,160959,,12025,24811,935,60600,43696,1770,21357,6087,18363,42307,12558,1797186,1049782,747404,33850,75832,41400,6150,37856,3495969,94417,1175,32274,12200,11817,33097,,9390,5750,55600,191000,40550,20140,5936,11691,28057,27257,51096,2200,1707622,56500,26710,,35365,364555,32230,21480,40810,,247265,40485,210724,52638
2001-03,3,2001,8891,15917,3795,5682,55140,22600,,108455,11200,,,33800,46051,25410,58010,80326,51400,39803,192948,74980,268330,84800,729101,10299,241443,293164,71796,8870,131300,8646,241480,212020,5591,,26157,11930,84580,31200,779,1710600,34929,533987,1679000,14200,4260,22900,48500,39607,9490,69078,1507,602195,8560,61400,42376,375800,3550,59319,7177,18864700,38000,57491,27300,7939,35716,22154000,46734,17476,14500,12643,248528,7356,139744,30300,315920,25078,,20996,,,9706,28238,14598,8198,397700,2120,58960,13882,7442,46000,142300,21107,20454,77190,10346,47600,70000,3604,6554,32384,18633,806,565,99092,25298,8424,5757,17260,1489001,15453,4112,310025,7724,702022,661500,184014,1921000,22430,40381,189500,2048313,36602,181140,584900,105732,78200,517113,13734,29501,39493,9780,167997,,11817,24618,2460,65600,47700,1310,23850,22364,16820,42418,22865,1977986,981222,996764,33720,77491,85900,11665,42864,3955799,98043,3070,34641,12400,27659,35970,,10088,5180,63800,188700,49790,30440,5398,15420,50037,28720,53357,1370,1882454,56400,27154,,58904,449620,34540,21830,40899,,244672,40660,205034,63581
2001-04,4,2001,8735,17865,4313,6456,56140,43200,,112166,12200,,,42900,80707,23180,57490,77598,58908,41547,194364,81163,270260,88000,768463,10805,242227,257591,69603,8840,182100,8730,239080,209076,5872,,83844,11879,92268,39820,867,1733800,37568,533042,1673000,19400,7190,22480,48390,41318,16700,65441,3036,667500,10300,78300,42900,450500,5570,60035,7153,18820820,37800,57068,29211,8890,37826,21603000,68376,23170,15700,15717,233012,12977,166080,34800,318622,24082,,22174,,,9764,27785,14528,8347,406300,3440,58623,13941,7703,55500,146000,33598,20416,88270,23486,49304,90700,4065,13547,34560,20000,804,468,126323,26961,8206,6117,20140,1472400,13246,4206,314940,7701,762304,687400,183889,1876000,22013,49793,215300,2188360,40333,193690,594000,112430,76600,637179,13807,31856,39306,10300,164169,,11605,24372,7120,65400,48200,1480,23887,42371,19882,43460,29211,1910991,926374,984617,32910,77823,87300,15490,46272,4020071,106935,4529,34291,11700,55426,39315,,9401,4960,82700,188800,50200,42472,5507,16587,98656,23717,46910,1750,1963231,61400,34120,,89938,470543,37190,21950,48026,,242020,40603,235861,39630
2001-05,5,2001,8185,18077,4221,7027,55070,64200,,85008,21200,,,49400,115863,25120,59210,77171,69879,39975,193101,72625,260870,77600,794322,20791,239854,286151,73032,8640,263700,8516,218110,181886,5354,,113907,11553,91228,43925,822,1679700,38640,557947,1650000,62500,9410,18140,47640,37595,26500,66140,59969,695800,13200,94200,38514,504700,15600,51361,7203,19797000,43610,55107,36360,7780,33507,21127000,88079,32481,17500,14127,196982,17662,243563,46700,315650,22972,,22871,,,9502,25844,13715,8295,429500,5039,58121,14195,7415,66400,151500,56390,20128,89260,46885,43275,108600,5521,18421,119623,19489,785,453,136483,30480,8017,6006,18428,1430000,10884,4013,297900,7904,799276,771500,173555,1799000,20004,46653,353700,2118837,44298,191660,573200,113484,70800,855169,14862,33399,37044,12300,158122,,10958,25731,15500,65200,46800,3570,23408,109383,19063,41617,32613,1493135,677301,815834,31490,79350,88100,13695,44339,3782524,133717,8590,35054,10500,62462,40211,,8887,9640,112500,187000,46760,45811,5337,14549,139613,33562,56779,2790,2021700,66000,32190,,113120,434909,35410,21760,76538,,236825,40130,239111,102093
2001-06,6,2001,7617,17238,3705,7756,53330,60800,,77682,13800,,,41400,97162,20250,59510,58758,71220,42094,189260,64844,235145,61400,768463,21828,236975,276377,69323,8430,268400,8001,189630,144654,4539,,116132,11139,85174,42775,844,1691100,34412,566910,1528000,58805,8940,11300,40220,34013,26100,67589,47780,586100,12900,85600,34528,392800,17000,42219,7054,20259000,42130,52380,36010,6187,23513,20557000,88350,31737,16900,11084,158610,18618,205792,45100,308445,21772,,21423,,,9240,24090,12713,8147,381900,4730,57286,13675,6794,65900,138800,56555,19735,98620,39616,41783,96600,4324,17211,103741,18232,783,466,141850,32035,8275,5919,17413,1382800,8604,4234,272187,7866,765926,689300,160309,1716000,17816,50619,348000,1918269,47243,196130,590400,113880,63600,619285,14862,33353,37285,12000,155585,,10414,24636,14200,62700,43900,4170,22322,99905,18078,46455,24928,1033071,390823,642248,29640,79542,86500,11470,37548,3283078,128344,7623,35897,11400,52390,37827,,8417,12500,105400,180900,38720,31581,4990,12441,94914,33629,57972,2930,1915340,65000,31380,,106205,355292,33060,21330,84701,,228872,39484,238119,67866
2001-07,7,2001,7323,15429,2916,8090,51600,45500,,67985,8540,,,41400,68252,14300,59100,39198,71220,45786,182055,57073,221450,42000,722207,21317,233338,269404,70337,8200,253300,7467,164420,108910,3669,,96664,10772,76641,40616,676,1656800,38136,575488,1384000,50700,8380,4960,33470,31836,24900,65883,46473,488900,12400,75400,32137,244500,16800,33434,6435,19763900,40460,49946,34410,4584,13540,20245000,87851,29630,16500,6662,126890,18115,162393,38100,302662,20083,,22310,,,8891,22140,11637,8074,327100,4390,57106,14210,6150,65100,120000,54966,19338,97150,33261,24362,75200,2345,16528,88808,16717,777,419,134097,30089,8230,5896,18878,1336500,6610,3879,245275,8115,659646,581100,146859,1624000,15653,41810,320500,1730944,45572,193320,576200,117176,59800,366240,14991,32895,38379,10900,160884,,9783,24667,10500,56600,40900,4540,21101,78471,18820,50436,17270,829778,280719,549059,28240,78539,85800,9305,32635,2716074,122019,6532,36894,10500,35485,34899,,7947,12600,94800,174300,29840,14599,4611,10308,14966,29865,54325,1700,1739888,65800,30052,,96744,314658,30440,20930,78365,,219577,38960,238151,58620
2001-08,8,2001,6248,15191,2060,7685,50030,36500,,46980,8170,,,27100,46894,9010,58630,23401,71033,48876,177377,51762,208400,22300,679007,20390,229737,270027,69005,7990,232200,7103,137919,65742,2814,,73296,10377,67909,37913,626,1668500,38987,573404,1267000,37900,7810,2000,32020,29533,23300,69661,37158,430500,12000,60000,29582,193700,17000,24504,5274,19321000,36690,47398,22020,3198,7989,20137000,87424,28132,16000,3133,105363,15041,125555,35200,292452,19032,,23473,,,8559,20412,10495,7953,258900,4000,54456,13609,5501,64200,112100,50941,18990,87270,26576,24362,51102,1220,14676,47170,15080,778,447,121894,28158,8558,5899,19040,1295100,6330,3920,217690,8101,563042,487900,133476,1538000,13687,43905,285400,1539412,43310,193470,581600,119744,50200,278142,13587,32667,36864,9380,155890,,9085,24198,7250,54800,37400,4680,19992,58594,18097,50113,7413,760039,244842,515197,26960,77150,85800,6980,28221,2389562,110173,5585,38590,12300,19873,31838,,7488,11900,84500,166200,28990,9896,4282,8291,5730,38938,63321,3460,1553888,65200,30840,,86123,220422,28240,20520,56364,,209375,38440,237768,58303
2001-09,9,2001,5831,14487,1071,7602,48770,35200,,28968,8570,,,19700,39523,6810,58270,15598,69784,46731,173479,48703,194790,17400,662618,18190,226929,287024,71557,7900,220500,5951,121100,47568,2031,,62083,10062,58189,30006,560,1610300,38205,571264,1198000,27100,4930,2020,30560,27530,21000,66516,14416,367600,10599,44500,28914,187900,16300,19071,4216,19134800,34510,45409,18100,1924,7820,19873000,79804,26990,14800,2251,87340,16860,108860,32700,285912,17608,,20817,,,7917,19265,9792,7865,188300,3660,51866,14158,3854,58400,106700,48349,18731,76800,18470,24486,37600,1505,10730,27106,13727,781,415,125284,26012,8744,4780,20360,1264300,6164,4249,203522,8045,538363,440500,123242,1481000,12352,43775,252800,1487684,41039,196160,567300,121948,43900,276048,14581,32667,37526,8200,161995,,8478,18973,4260,44100,34000,3990,19004,43277,18477,49709,7081,829590,313583,516007,27050,75723,66500,5005,24370,2199643,103835,3705,39805,13200,17328,29463,,7038,11500,74600,160300,28590,7263,4058,6799,4407,21799,43782,2200,1428163,61800,26932,,84344,212985,26300,20200,46361,,201341,37867,223657,51643
2001-10,10,2001,4983,14020,872,7551,47540,32103,,24122,7740,,,22200,32961,5830,57520,15408,59554,29522,170389,46422,204650,16700,611963,15898,224393,275157,72494,7790,218540,6357,118290,,1325,,50954,8753,48841,22546,524,1474500,38515,569499,1146000,21371,3230,3220,29760,26413,20700,66940,1153,287404,6850,42816,28389,164687,16900,18470,2962,18802300,33240,43973,19960,2556,7728,19882000,71608,25959,14900,1720,84730,16742,99622,28947,283685,15661,,19973,,,7604,18513,9246,7861,123800,3310,50680,14053,2202,47220,102500,40657,18535,68900,11332,40666,35101,2568,6644,16315,12667,787,385,109542,26307,8718,5899,15420,1246029,6013,4160,199342,8172,504067,385679,119216,1468052,12145,49314,222000,1433405,39842,173970,569900,122672,36400,286752,14129,32035,37830,8194,161645,,8070,22979,1993,34308,30700,3830,18252,26014,18517,48166,8196,764056,406356,357700,26480,75277,46600,5525,24053,2167051,105173,1864,42083,11400,16497,27832,,6655,10900,65900,156600,15933,4979,3854,5476,4066,18239,42372,820,1294684,54200,13404,,91898,214340,21550,19930,47658,,194689,37412,205623,50237
2001-11,11,2001,6110,14090,933,7577,47300,31697,,28742,5440,,,28048,34032,7840,57650,15536,58313,30499,169558,46324,191780,22700,619874,15509,223889,285175,72513,7820,230200,7639,123170,62504,707,,43737,5543,63844,23960,533,1533700,37650,568006,1152882,19117,3490,5525,32810,26322,22600,65837,2273,261932,6310,42264,28648,175537,14000,18963,2620,18510900,32570,44224,19960,3392,8464,19776000,60277,25719,15100,3397,90100,8615,100419,27499,279750,15225,,21386,,,7340,19224,8876,7848,111700,3220,51926,13882,2120,49222,111300,43917,18491,64630,10675,48949,41200,3080,5895,18666,13120,789,525,113262,23298,8741,5968,13340,1256641,5979,4351,188900,7571,507774,366900,116743,1471352,14372,41579,202800,1416920,38825,176480,549200,121971,48500,314883,14179,33169,32992,8742,155220,,8115,23517,1449,40900,40300,3500,18110,18245,16623,45804,6573,964447,551611,412836,27030,76281,41600,5360,25617,2284384,111403,1942,40431,10300,17900,27305,,6777,9450,61700,155600,26862,7854,3827,5143,13543,20279,44398,6530,1338246,54396,13236,,98195,261552,23070,19895,49713,,204221,37242,212011,49197
